GEO_ID,factor_white_nonHispanic,factor_owner_occupied,factor_earning_higher_than_national_poverty_rate,factor_over_25_with_high_school_diploma_or_higher,factor_without_disability_age_18_to_65,FIPS,R1,R2,R3,R4,R5,SVS,zone
1400000US12071000303,0.30439814814814814,0.6229235880398671,0.7940835266821346,0.6712436249509611,0.5460069444444444,12071000303,0.5221881540753558,0.9605988144154688,0.9109520897863991,0.7538456321272936,0.9968305743426454,0.8288830529494324,Medium to High Vulnerable (zone4)
1400000US12071000304,0.7215189873417721,0.3241469816272966,0.9312839059674503,0.9234972677595629,0.6775165762507535,12071000304,1.2377495409300245,0.4998609977627077,1.068344817415006,1.0371411447414438,1.236924263880712,1.016004152945979,Medium Vulnerable (zone3)
1400000US12071000305,0.08025343189017951,0.32920110192837465,0.8004223864836325,0.6918238993710691,0.5913410770855333,12071000305,0.13767295140228364,0.5076548621504823,0.9182238658515245,0.7769584773043527,1.0795959126551884,0.6840212138727664,High Vulnerable (zone5)
1400000US12071000306,0.20354231093618216,0.29411764705882354,0.7593477649704807,0.573744769874477,0.6513916221535001,12071000306,0.3491722412590626,0.4535533225710684,0.8711041220873793,0.6443487470847143,1.1892286195992317,0.7014814105202912,High Vulnerable (zone5)
1400000US12071000401,0.34425675675675677,0.6511111111111111,0.8996621621621621,0.6564844587352626,0.5888135593220339,12071000401,0.5905646976908957,1.0040662665451074,1.032069170541339,0.7372702300348598,1.0749814896895358,0.8877903709003474,Medium to High Vulnerable (zone4)
1400000US12071000402,0.7831541218637993,0.8614341085271318,0.9348607367475292,0.8438538205980066,0.3557347670250896,12071000402,1.3434832233392204,1.3284014271349915,1.0724480652024766,0.9476969213051523,0.6494556447227534,1.0682970563409189,Medium Vulnerable (zone3)
1400000US12071000502,0.04764044943820225,0.2696296296296296,0.5242541562286496,0.7196969696969697,0.4161797752808989,12071000502,0.0817261159530694,0.4157908088992253,0.6014108127782147,0.8082615564519455,0.7598085127748099,0.533399561371453,High Vulnerable (zone5)
1400000US12071000503,0.14378932649731999,0.5260663507109005,0.8940070505287897,0.6534110387384299,0.6781635982288511,12071000503,0.24666734484478814,0.8112370802764038,1.0255817726955225,0.733818600620168,1.2381055149556333,0.8110820626785031,Medium to High Vulnerable (zone4)
1400000US12071000504,0.22268041237113403,0.5044642857142857,0.7273695420660277,0.5970504281636536,0.4505154639175258,12071000504,0.38200322239880524,0.7779249398741271,0.8344195316083634,0.6705223568622829,0.8224942800024125,0.6974728661491982,High Vulnerable (zone5)
1400000US12071000600,0.07974481658692185,0.42363510711817554,0.7687768240343348,0.6701149425287356,0.5038574088853418,12071000600,0.13680043332699846,0.6532797753300765,0.8819208948453104,0.7525780561199747,0.9198792714935458,0.6688916862231812,High Vulnerable (zone5)
1400000US12071000700,0.24108853967037178,0.19086651053864168,0.7157126392623896,0.693500298151461,0.4971187091817134,12071000700,0.41358194938138465,0.29433167607597904,0.8210470341158399,0.7788411706385266,0.9075766039831071,0.6430756868389675,High Vulnerable (zone5)
1400000US12071000800,0.7297992794647452,0.5797101449275363,0.885229027277406,0.9677835051546392,0.3494595985589295,12071000800,1.2519541952132551,0.8939601720241348,1.0155118513883117,1.0868771651409965,0.6379992340491054,0.9772605235631607,Medium Vulnerable (zone3)
1400000US12071000900,0.8751311647429171,0.9092827004219409,0.9618747813920951,0.9591503267973857,0.4305701294158797,12071000900,1.5012677648370907,1.4021878457714,1.1034378787367913,1.0771816037172781,0.786080605324773,1.1740311396774668,Medium to Low Vulnerable (zone2)
1400000US12071001001,0.712551724137931,0.8180592991913747,0.9555862068965517,0.9559055118110236,0.5169655172413793,12071001001,1.222366403259809,1.2615139449085861,1.0962237886744675,1.0735374877605584,0.9438104015167903,1.1194904052240422,Medium to Low Vulnerable (zone2)
1400000US12071001002,0.6644031451036455,0.6706443914081146,0.7251202367739549,0.7992459943449576,0.510913799482057,12071001002,1.1397686024511515,1.0341881727551283,0.8318391867359007,0.8975997379136362,0.93276193894472,0.9672315277601076,Medium Vulnerable (zone3)
1400000US12071001101,0.11365600691443388,0.24480214621059693,0.665514261019879,0.6447890371438875,0.5585566119273985,12071001101,0.1949743150912305,0.37750481107357203,0.7634607525379224,0.7241355913510443,1.0197421734937717,0.6159635287095082,High Vulnerable (zone5)
1400000US12071001103,0.5746549560853199,0.20658135283363802,0.833901192504259,0.9290966386554622,0.5174616695059625,12071001103,0.985807609454977,0.31856524046033724,0.9566298864819602,1.043429563931783,0.9447162137081886,0.8498297028074491,Medium to High Vulnerable (zone4)
1400000US12071001104,0.3716446124763705,0.08235294117647059,0.6425602660016625,0.8006775832862789,0.5556940980881131,12071001104,0.6375479461413651,0.12699493031989914,0.7371285229572916,0.8992074955597453,1.0145161569686851,0.6830790103893973,High Vulnerable (zone5)
1400000US12071001203,0.3266341463414634,0.11696230598669623,0.8784729162502498,0.8543046357615894,0.6540075954427343,12071001203,0.5603335071966865,0.18036538448585612,1.0077614155056638,0.95943379458095,1.1940045335008866,0.7803797270540087,Medium to High Vulnerable (zone4)
1400000US12071001204,0.6643952299829642,0.5638665132336018,0.9372889532079113,0.8322382829610162,0.548480463096961,12071001204,1.1397550242402361,0.8695280039164556,1.0752336523412516,0.9346519969483732,1.0013464125460296,1.0041030179984691,Medium Vulnerable (zone3)
1400000US12071001205,0.325653637069635,0.21957186544342508,0.8050737768573648,0.943302891933029,0.779704892570541,12071001205,0.558651465667115,0.3385976669909762,0.9235598206207511,1.0593840126358136,1.4234867958862485,0.8607359523601807,Medium to High Vulnerable (zone4)
